Y,1911.TDF.ANS
Y,1911X.TDF.ANS
Y,208.TDF.ANS
Y,208X.TDF.ANS
N,3D-ASCII.TDF.ANS
Y,3DDIAG.TDF.ANS
Y,3D-FADE.TDF.ANS
Y,4MAXCOL.TDF.ANS
Y,4MAX.TDF.ANS
Y,4MAXX.TDF.ANS
Y,AAA.TDF.ANS
Y,AAAX.TDF.ANS
Y,AARDVARK.TDF.ANS
Y,ABBADON.TDF.ANS
Y,ACCESS.TDF.ANS
Y,ACHERONX.TDF.ANS
Y,ACID3DX.TDF.ANS
Y,ACIDNEWX.TDF.ANS
Y,ACIDSC2X.TDF.ANS
Y,ACIDSCPX.TDF.ANS
Y,ACIDTRON.TDF.ANS
Y,ACIDX.TDF.ANS
Y,ACRYLICX.TDF.ANS
Y,ADOMEX.TDF.ANS
Y,ADRENAX.TDF.ANS
Y,ADRKNESX.TDF.ANS
Y,ADVOCATE.TDF.ANS
Y,AFTRDARX.TDF.ANS
Y,AFTRHOUX.TDF.ANS
Y,AGONY2X.TDF.ANS
Y,AGONY.TDF.ANS
Y,ALCHEMYX.TDF.ANS
Y,ALFHEIMX.TDF.ANS
Y,ALIENLED.TDF.ANS
Y,ALIGATR2.TDF.ANS
Y,ALPHAX.TDF.ANS
Y,AMAZONX.TDF.ANS
Y,AMBUSH2.TDF.ANS
Y,AMBUSHS.TDF.ANS
Y,AMBUSHX.TDF.ANS
Y,AMCNEKO.TDF.ANS
Y,AMCSLASH.TDF.ANS
Y,AMNESIA.TDF.ANS
Y,AMNESIAX.TDF.ANS
Y,ANARCHYX.TDF.ANS
N,ANDROMED.TDF.ANS
Y,ANEMIAX.TDF.ANS
Y,ANEMIAXX.TDF.ANS
Y,ANGLDUST.TDF.ANS
Y,ANNIVERX.TDF.ANS
Y,ANOMALIX.TDF.ANS
Y,ANSILTR2.TDF.ANS
Y,ANSILTR3.TDF.ANS
Y,ANSILTR4.TDF.ANS
Y,ANSILTR5.TDF.ANS
Y,ANTRFONT.TDF.ANS
Y,APOCAL2X.TDF.ANS
Y,APOTM.TDF.ANS
Y,APOVISNX.TDF.ANS
Y,APPOCALX.TDF.ANS
Y,ARCANE.TDF.ANS
Y,ARCHANA.TDF.ANS
Y,AREACONX.TDF.ANS
Y,AREAX.TDF.ANS
Y,ARMAGDNX.TDF.ANS
Y,ASCII_2.TDF.ANS
N,ASCII.TDF.ANS
Y,ASSYLUM.TDF.ANS
Y,ASSYLUMX.TDF.ANS
Y,ASTRONMX.TDF.ANS
Y,ASYLUMX.TDF.ANS
Y,ATBX.TDF.ANS
Y,ATLANTIX.TDF.ANS
Y,ATOMICX.TDF.ANS
Y,ATOMX.TDF.ANS
Y,ATTITUDX.TDF.ANS
Y,AUDIOFIL.TDF.ANS
Y,BADLANDX.TDF.ANS
Y,BALISTCX.TDF.ANS
Y,BAMBOOSX.TDF.ANS
Y,BANSHEE.TDF.ANS
Y,BANSHEEX.TDF.ANS
Y,BASIC.TDF.ANS
Y,BBSTX.TDF.ANS
N,BEAST.TDF.ANS
Y,BELFASTX.TDF.ANS
Y,BEVISIOX.TDF.ANS
Y,BEYOND2X.TDF.ANS
Y,BEYONDX.TDF.ANS
N,BIGICE_F.TDF.ANS
Y,BIGL2.TDF.ANS
N,BIGLIMPY.TDF.ANS
Y,BIOHAZRX.TDF.ANS
Y,BISMARCX.TDF.ANS
Y,BITCHVRX.TDF.ANS
Y,BIZARRAX.TDF.ANS
Y,BLACKSUN.TDF.ANS
Y,BLACKSUX.TDF.ANS
Y,BLACKX.TDF.ANS
Y,BLADEX.TDF.ANS
Y,BLAH.TDF.ANS
Y,BLAHX.TDF.ANS
Y,BLCKSUNX.TDF.ANS
Y,BLCKTRNC.TDF.ANS
Y,BLEACH.TDF.ANS
Y,BLENDR1X.TDF.ANS
Y,BLENDR2X.TDF.ANS
Y,BLEVX.TDF.ANS
Y,BLISTERX.TDF.ANS
N,BLOCK3D.TDF.ANS
Y,BLOCK3DX.TDF.ANS
Y,BLOCK.TDF.ANS
Y,BLOODLGC.TDF.ANS
N,BLOODLG.TDF.ANS
N,BLOODSMC.TDF.ANS
N,BLOODSML.TDF.ANS
Y,BLOODYX.TDF.ANS
Y,BLUEESCX.TDF.ANS
Y,BLUNDERS.TDF.ANS
Y,BLUNDER.TDF.ANS
Y,BLWTORCX.TDF.ANS
Y,BOARDX.TDF.ANS
Y,BODILY.TDF.ANS
Y,BODYCNT.TDF.ANS
Y,BODYCNTX.TDF.ANS
Y,BODYELEX.TDF.ANS
Y,BOILPONT.TDF.ANS
Y,BOLDME.TDF.ANS
Y,BOLGER.TDF.ANS
Y,BOLLUX.TDF.ANS
Y,BOLLUXX.TDF.ANS
Y,BONERX.TDF.ANS
Y,BONEX.TDF.ANS
Y,BONGX.TDF.ANS
N,BOW.TDF.ANS
Y,BOXFIGHT.TDF.ANS
Y,BRAVEX.TDF.ANS
Y,BREACHX.TDF.ANS
Y,BREAKX.TDF.ANS
Y,BREX.TDF.ANS
Y,BRICKX.TDF.ANS
Y,BRINK.TDF.ANS
Y,BRINKX.TDF.ANS
Y,BRNDAMGX.TDF.ANS
Y,BROADWAY.TDF.ANS
Y,BROKENX.TDF.ANS
Y,BROKNSRT.TDF.ANS
Y,BROTHOOD.TDF.ANS
Y,BUBACOL.TDF.ANS
Y,BUBA.TDF.ANS
Y,BUFFALO.TDF.ANS
Y,BURNINGX.TDF.ANS
Y,CAFEX.TDF.ANS
Y,CALIFORX.TDF.ANS
Y,CALVIN_L.TDF.ANS
Y,CALVIN_S.TDF.ANS
Y,CALVIN.TDF.ANS
Y,CAPITALX.TDF.ANS
Y,CARBONX.TDF.ANS
Y,CARDINAX.TDF.ANS
Y,CARTELX.TDF.ANS
Y,CARTOON.TDF.ANS
Y,CASINOX.TDF.ANS
Y,CASTLEX.TDF.ANS
Y,CATLKINX.TDF.ANS
Y,CATTLEX.TDF.ANS
Y,CCINX.TDF.ANS
Y,CELERTYX.TDF.ANS
Y,CEMETARY.TDF.ANS
Y,CESSPOOX.TDF.ANS
Y,CFH-AMIG.TDF.ANS
Y,CFH-HORX.TDF.ANS
N,CFH-SNOW.TDF.ANS
Y,CFH-SNWX.TDF.ANS
Y,CHAMBERX.TDF.ANS
Y,CHANNELX.TDF.ANS
Y,CHAOS2X.TDF.ANS
Y,CHAOSENX.TDF.ANS
Y,CHAOTICX.TDF.ANS
Y,CHAZERGX.TDF.ANS
Y,CHILDREN.TDF.ANS
Y,CHNLZERO.TDF.ANS
Y,CHROMAX.TDF.ANS
Y,CHRONOX.TDF.ANS
Y,CHURCHX.TDF.ANS
Y,CIAFONTX.TDF.ANS
Y,CIRCUTSX.TDF.ANS
Y,CITYX.TDF.ANS
Y,CLASSIC.TDF.ANS
Y,CLDCITYX.TDF.ANS
Y,CLOSEDX.TDF.ANS
Y,CNERIP.TDF.ANS
Y,CODERX.TDF.ANS
Y,CODEX.TDF.ANS
Y,COLONY.TDF.ANS
Y,COLORHRD.TDF.ANS
Y,COLOR_.TDF.ANS
N,COLOR.TDF.ANS
Y,COLOSALL.TDF.ANS
N,COLOSCOL.TDF.ANS
Y,COLOSEUX.TDF.ANS
N,COLOSSAL.TDF.ANS
Y,COLOURSX.TDF.ANS
Y,COMMODRE.TDF.ANS
Y,COMMX.TDF.ANS
Y,COMPACT.TDF.ANS
Y,COMPFIGL.TDF.ANS
Y,COMPUTRX.TDF.ANS
Y,CONSOLEX.TDF.ANS
Y,CONTINUX.TDF.ANS
Y,CONVULSX.TDF.ANS
N,COP-BH.TDF.ANS
N,COP_CH1.TDF.ANS
Y,COROSV2X.TDF.ANS
Y,CORPSE.TDF.ANS
Y,CORROSOX.TDF.ANS
Y,CORUPTNX.TDF.ANS
N,COSMICCO.TDF.ANS
N,COSMIC.TDF.ANS
Y,COUNTX.TDF.ANS
Y,COURIERX.TDF.ANS
Y,CRAZEDX.TDF.ANS
Y,CREATIOX.TDF.ANS
Y,CREATORX.TDF.ANS
Y,CREEPX.TDF.ANS
Y,CRESTCLX.TDF.ANS
Y,CREST.TDF.ANS
Y,CRICKET.TDF.ANS
Y,CRIMRINX.TDF.ANS
Y,CRIMSON.TDF.ANS
Y,CRISISX.TDF.ANS
Y,CROSROAX.TDF.ANS
Y,CR-X.TDF.ANS
N,CRYPTIC.TDF.ANS
Y,CRYSTALX.TDF.ANS
Y,CRZYMADX.TDF.ANS
Y,CYANIDX.TDF.ANS
Y,CYBCRTWX.TDF.ANS
Y,CYBERA2X.TDF.ANS
Y,CYBERIA1.TDF.ANS
Y,CYBERLRG.TDF.ANS
Y,CYBERNX.TDF.ANS
Y,CYBERRRX.TDF.ANS
Y,CYBERWRX.TDF.ANS
Y,CYBERWX.TDF.ANS
Y,CYBLARGE.TDF.ANS
Y,CYBMEDUM.TDF.ANS
Y,CYBRCRME.TDF.ANS
Y,CYBRFRCX.TDF.ANS
Y,CYBSMALL.TDF.ANS
Y,DAMAGEX.TDF.ANS
Y,DAMNATNX.TDF.ANS
Y,DAMNEDX.TDF.ANS
Y,DANGERFX.TDF.ANS
Y,DANGERX.TDF.ANS
Y,DARKCRUX.TDF.ANS
N,DARKERS1.TDF.ANS
Y,DARKERS2.TDF.ANS
Y,DARKLANX.TDF.ANS
Y,DARKLITX.TDF.ANS
Y,DARKMOON.TDF.ANS
Y,DARKN2SX.TDF.ANS
Y,DARKNSES.TDF.ANS
Y,DARKSIDX.TDF.ANS
N,DARKSUN.TDF.ANS
N,DARKSUNX.TDF.ANS
Y,DARK.TDF.ANS
Y,DARKTWO.TDF.ANS
Y,DARRELL.TDF.ANS
Y,DARRELLX.TDF.ANS
Y,DCFONT.TDF.ANS
N,DCP_1.TDF.ANS
Y,DEADRELM.TDF.ANS
Y,DEADSTAR.TDF.ANS
Y,DEADSTRX.TDF.ANS
Y,DEATHROW.TDF.ANS
Y,DEATH.TDF.ANS
Y,DEATHX.TDF.ANS
Y,DEEP.TDF.ANS
Y,DEFLEPRD.TDF.ANS
Y,DELLX.TDF.ANS
Y,DEMONCLX.TDF.ANS
Y,DEMONIC.TDF.ANS
Y,DENIED.TDF.ANS
Y,DESCENTX.TDF.ANS
Y,DESCNTSX.TDF.ANS
Y,DESERTX.TDF.ANS
Y,DESNUDO.TDF.ANS
Y,DESTINX.TDF.ANS
Y,DESTNY2X.TDF.ANS
Y,DESTRUCX.TDF.ANS
Y,DEVELOPX.TDF.ANS
Y,DIGITAL2.TDF.ANS
Y,DIGITALX.TDF.ANS
Y,DIGITX.TDF.ANS
Y,DIGX.TDF.ANS
Y,DIMENTOX.TDF.ANS
Y,DIMSBOLX.TDF.ANS
Y,DIMSSLIM.TDF.ANS
Y,DIMSSLIX.TDF.ANS
Y,DISSIMUX.TDF.ANS
Y,DISTREAX.TDF.ANS
Y,DOLCEX.TDF.ANS
Y,DOMINION.TDF.ANS
Y,DOMINIOX.TDF.ANS
N,DONNOW.TDF.ANS
Y,DOORSX.TDF.ANS
Y,DOPE.TDF.ANS
Y,DOSREBEL.TDF.ANS
Y,DOWNFALX.TDF.ANS
Y,DRAGON2X.TDF.ANS
Y,DRAGONX.TDF.ANS
Y,DREADLK.TDF.ANS
Y,DREAMLDS.TDF.ANS
Y,DREAMLNX.TDF.ANS
Y,DREAMLSX.TDF.ANS
Y,DREAM.TDF.ANS
Y,DRGX.TDF.ANS
Y,DRKERS1X.TDF.ANS
Y,DRKERS2X.TDF.ANS
Y,DRKIMAGX.TDF.ANS
Y,DRKMOONX.TDF.ANS
Y,DRKREALM.TDF.ANS
Y,DRKSOCTY.TDF.ANS
Y,DROME.TDF.ANS
Y,DRUMSX.TDF.ANS
Y,DSKTDWNX.TDF.ANS
Y,DUNGEON2.TDF.ANS
Y,DUNGEONX.TDF.ANS
Y,DUSTNBNX.TDF.ANS
Y,DYNASTY.TDF.ANS
Y,DYNASTYX.TDF.ANS
Y,EATMEX.TDF.ANS
Y,EBERUSX.TDF.ANS
Y,ECLIPSE2.TDF.ANS
Y,ECLIPSEX.TDF.ANS
Y,ECLPSE2X.TDF.ANS
Y,ELEUTHIX.TDF.ANS
Y,ELEVENTH.TDF.ANS
Y,ELITE.TDF.ANS
Y,ELUSIVEX.TDF.ANS
Y,EMBERX.TDF.ANS
Y,EMPIRESX.TDF.ANS
Y,EMPI.TDF.ANS
Y,EMSX.TDF.ANS
Y,ENDLESS.TDF.ANS
Y,ENERGYX.TDF.ANS
Y,ERTHBND2.TDF.ANS
Y,ERTHBOND.TDF.ANS
Y,ESCAPE2.TDF.ANS
Y,ESCAPEX.TDF.ANS
Y,ETERNA2X.TDF.ANS
Y,ETERNAL2.TDF.ANS
Y,ETERNALX.TDF.ANS
Y,ETERNITX.TDF.ANS
Y,ETHERX.TDF.ANS
Y,EUPHORIX.TDF.ANS
Y,EVILX.TDF.ANS
Y,EVLACIDX.TDF.ANS
Y,EVOLUTX.TDF.ANS
N,EVOLVE.TDF.ANS
Y,EXILANSA.TDF.ANS
Y,EXILE.TDF.ANS
Y,EXILIANS.TDF.ANS
Y,EXODUS2X.TDF.ANS
Y,EXODUSX.TDF.ANS
Y,EXPLORAX.TDF.ANS
Y,EXPLOSOX.TDF.ANS
Y,EXTASYX.TDF.ANS
N,FA!-#2.TDF.ANS
Y,FADE-1.TDF.ANS
Y,FADE-2.TDF.ANS
Y,FAITHX.TDF.ANS
Y,FALCONSX.TDF.ANS
Y,FANTASYX.TDF.ANS
Y,FASTLANE.TDF.ANS
Y,FATALX.TDF.ANS
Y,FB-COLDX.TDF.ANS
N,FB-FOGFT.TDF.ANS
Y,FB-GOTHX.TDF.ANS
Y,FB-GRAYX.TDF.ANS
Y,FB-ICEFX.TDF.ANS
Y,FB-LINE.TDF.ANS
Y,FB-OLDSD.TDF.ANS
Y,FB-REDSD.TDF.ANS
Y,FBR.TDF.ANS
Y,FBRX.TDF.ANS
Y,FEAR.TDF.ANS
Y,FIBERX.TDF.ANS
Y,FIELDS.TDF.ANS
Y,FILEX.TDF.ANS
Y,FINAL.TDF.ANS
Y,FINDEST2.TDF.ANS
Y,FINDSTYX.TDF.ANS
Y,FINEST.TDF.ANS
Y,FINESTX.TDF.ANS
Y,FINE.TDF.ANS
Y,FIRE.TDF.ANS
Y,FISHBOWL.TDF.ANS
Y,FLAREX.TDF.ANS
Y,FLATLINE.TDF.ANS
Y,FOCSPOPX.TDF.ANS
Y,FONT10.TDF.ANS
Y,FONT11.TDF.ANS
Y,FONT12X.TDF.ANS
Y,FONT13.TDF.ANS
Y,FONT14.TDF.ANS
Y,FONT15.TDF.ANS
Y,FONT16.TDF.ANS
Y,FONT17.TDF.ANS
Y,FONT18.TDF.ANS
Y,FONT19.TDF.ANS
Y,FONT1.TDF.ANS
Y,FONT20.TDF.ANS
Y,FONT21X.TDF.ANS
Y,FONT22X.TDF.ANS
Y,FONT23.TDF.ANS
Y,FONT25.TDF.ANS
Y,FONT26OX.TDF.ANS
Y,FONT26X.TDF.ANS
Y,FONT27.TDF.ANS
Y,FONT28X.TDF.ANS
Y,FONT29X.TDF.ANS
N,FONT2.TDF.ANS
Y,FONT2X.TDF.ANS
Y,FONT30.TDF.ANS
Y,FONT31.TDF.ANS
Y,FONT32.TDF.ANS
Y,FONT33.TDF.ANS
Y,FONT34.TDF.ANS
Y,FONT35.TDF.ANS
Y,FONT36.TDF.ANS
Y,FONT37R.TDF.ANS
Y,FONT37.TDF.ANS
Y,FONT38.TDF.ANS
Y,FONT39.TDF.ANS
Y,FONT3.TDF.ANS
Y,FONT40X.TDF.ANS
Y,FONT41.TDF.ANS
Y,FONT42X.TDF.ANS
Y,FONT43X.TDF.ANS
Y,FONT44X.TDF.ANS
Y,FONT45X.TDF.ANS
Y,FONT46.TDF.ANS
Y,FONT47X.TDF.ANS
Y,FONT48.TDF.ANS
Y,FONT49.TDF.ANS
Y,FONT4.TDF.ANS
Y,FONT4X.TDF.ANS
Y,FONT50.TDF.ANS
Y,FONT51.TDF.ANS
Y,FONT52.TDF.ANS
Y,FONT53X.TDF.ANS
Y,FONT54X.TDF.ANS
Y,FONT55X.TDF.ANS
Y,FONT56X.TDF.ANS
Y,FONT57.TDF.ANS
Y,FONT58X.TDF.ANS
Y,FONT59X.TDF.ANS
Y,FONT5.TDF.ANS
Y,FONT5X.TDF.ANS
Y,FONT60X.TDF.ANS
Y,FONT61X.TDF.ANS
Y,FONT62.TDF.ANS
Y,FONT64.TDF.ANS
Y,FONT65.TDF.ANS
Y,FONT66.TDF.ANS
Y,FONT67X.TDF.ANS
